Clase,Neurona ganadora,Spikes ganadora,Total de spikes,Precisión
1,10,302,2814,0.1073
2,10,144,931,0.1547
3,10,48,207,0.2319
4,3,11,49,0.2245
5,1,3,10,0.3
6,0,2,6,0.3333
7,0,1,3,0.3333
