48, 0, 1
48, 2, 1
48, 6, 1
48, 9, 1
49, 1, 1
49, 3, 1
49, 4, 1
49, 5, 1
49, 8, 1
49, 10, 1
50, 7, 1
87, 6, 1
125, 0, 1
125, 1, 1
126, 5, 1
127, 2, 1
127, 4, 1
127, 10, 1
128, 7, 1
133, 8, 1
134, 3, 1
134, 9, 1
139, 6, 1
143, 0, 1
143, 1, 1
144, 2, 1
144, 4, 1
144, 5, 1
144, 10, 1
145, 7, 1
145, 8, 1
145, 9, 1
146, 3, 1
148, 6, 1
152, 0, 1
153, 1, 1
154, 2, 1
154, 4, 1
154, 8, 1
154, 9, 1
155, 5, 1
155, 7, 1
155, 10, 1
156, 3, 1
157, 6, 1
160, 0, 1
160, 1, 1
161, 2, 1
161, 8, 1
162, 4, 1
162, 9, 1
162, 10, 1
163, 3, 1
163, 5, 1
163, 7, 1
164, 6, 1
166, 0, 1
166, 1, 1
167, 2, 1
167, 4, 1
167, 8, 1
168, 5, 1
168, 9, 1
168, 10, 1
169, 3, 1
169, 6, 1
169, 7, 1
174, 0, 1
174, 1, 1
175, 2, 1
175, 4, 1
176, 8, 1
176, 9, 1
176, 10, 1
177, 5, 1
177, 6, 1
177, 7, 1
178, 3, 1
181, 0, 1
182, 1, 1
184, 2, 1
184, 4, 1
185, 8, 1
186, 5, 1
186, 6, 1
186, 7, 1
186, 9, 1
186, 10, 1
187, 3, 1
189, 0, 1
189, 1, 1
190, 2, 1
190, 4, 1
191, 8, 1
192, 6, 1
193, 5, 1
193, 7, 1
193, 9, 1
193, 10, 1
194, 3, 1
196, 0, 1
196, 1, 1
196, 2, 1
196, 4, 1
197, 8, 1
199, 6, 1
200, 5, 1
200, 7, 1
200, 9, 1
201, 3, 1
201, 10, 1
202, 0, 1
202, 1, 1
202, 2, 1
202, 4, 1
203, 8, 1
205, 6, 1
206, 5, 1
206, 7, 1
206, 9, 1
208, 1, 1
208, 3, 1
208, 10, 1
209, 0, 1
209, 2, 1
209, 4, 1
209, 8, 1
212, 6, 1
212, 7, 1
213, 5, 1
213, 9, 1
215, 1, 1
215, 2, 1
215, 3, 1
215, 10, 1
216, 0, 1
216, 4, 1
216, 8, 1
219, 6, 1
220, 7, 1
222, 9, 1
223, 5, 1
224, 0, 1
224, 1, 1
224, 2, 1
224, 3, 1
224, 4, 1
224, 10, 1
225, 8, 1
227, 6, 1
228, 7, 1
229, 9, 1
232, 0, 1
232, 1, 1
232, 2, 1
232, 4, 1
232, 5, 1
232, 10, 1
233, 3, 1
233, 8, 1
237, 6, 1
238, 7, 1
241, 9, 1
250, 4, 1
251, 1, 1
251, 2, 1
251, 8, 1
253, 0, 1
254, 5, 1
255, 10, 1
256, 3, 1
260, 6, 1
260, 7, 1
266, 9, 1
270, 0, 1
270, 8, 1
271, 1, 1
272, 2, 1
272, 4, 1
273, 5, 1
273, 10, 1
275, 3, 1
275, 6, 1
275, 7, 1
276, 9, 1
280, 0, 1
280, 8, 1
281, 1, 1
281, 2, 1
282, 4, 1
283, 5, 1
283, 10, 1
284, 6, 1
284, 9, 1
285, 3, 1
285, 7, 1
287, 0, 1
287, 8, 1
289, 1, 1
289, 2, 1
289, 4, 1
290, 5, 1
290, 10, 1
291, 6, 1
291, 7, 1
291, 9, 1
293, 0, 1
293, 3, 1
293, 8, 1
295, 1, 1
295, 2, 1
295, 4, 1
295, 5, 1
296, 6, 1
296, 10, 1
297, 7, 1
297, 9, 1
298, 8, 1
299, 0, 1
299, 3, 1
302, 1, 1
302, 2, 1
303, 4, 1
303, 5, 1
303, 6, 1
304, 7, 1
304, 9, 1
304, 10, 1
305, 8, 1
307, 0, 1
307, 3, 1
309, 1, 1
309, 2, 1
309, 6, 1
310, 4, 1
310, 5, 1
311, 7, 1
311, 9, 1
311, 10, 1
312, 8, 1
315, 0, 1
315, 3, 1
316, 2, 1
317, 1, 1
317, 4, 1
317, 6, 1
317, 7, 1
318, 5, 1
318, 9, 1
318, 10, 1
320, 8, 1
322, 0, 1
323, 2, 1
323, 3, 1
323, 4, 1
324, 1, 1
324, 6, 1
324, 7, 1
325, 5, 1
325, 9, 1
325, 10, 1
326, 8, 1
331, 0, 1
331, 2, 1
331, 4, 1
332, 1, 1
332, 3, 1
332, 7, 1
332, 9, 1
333, 5, 1
333, 6, 1
333, 8, 1
333, 10, 1
337, 0, 1
337, 2, 1
337, 4, 1
338, 7, 1
339, 1, 1
339, 3, 1
339, 9, 1
340, 5, 1
340, 6, 1
340, 8, 1
340, 10, 1
