Class,Winner neuron,Winner spike,Total spikes,Precision
1,8,318,2754,0.1155
2,8,189,864,0.2188
3,8,66,206,0.3204
4,8,18,61,0.2951
5,8,4,8,0.5
6,4,4,10,0.4
7,2,1,2,0.5
