Neuron,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
0,288,127,38,7,0,2,1
1,281,111,31,4,3,0,0
2,271,100,9,3,2,0,0
3,271,95,7,11,0,0,0
4,212,21,12,0,1,2,0
5,282,112,15,9,1,0,0
6,297,139,32,7,3,0,1
7,177,12,3,1,0,2,0
8,208,25,10,0,0,0,0
9,225,45,2,1,0,0,1
10,302,144,48,6,0,0,0
